Year,Institution Count,Level - Ph.D - Male,Level - Ph.D - Female,Level - M.Phil - Male,Level - M.Phil - Female,Level - Post Graduate - Male,Level - Post Graduate - Female,Level - Under Graduate - Male,Level - Under Graduate - Female,Level - PG Diploma - Male,Level - PG Diploma - Female,Level - Diploma - Male,Level - Diploma - Female,Level - Certificate - Male,Level - Certificate - Female,Level - Integrated - Male,Level - Integrated - Female,Level - Total - Male,Level - Total - Female,Grand Total
2012-13,25787,7398,6558,4299,7419,718121,747578,8842033,7976683,17337,15013,155085,70457,13597,19351,15477,12508,9773347,8855567,18628914
2011-12,21376,6780,6113,3862,6959,619433,612720,7215291,6393189,14621,12560,138940,58783,13871,15519,12867,9950,8025665,7115793,15141458
